cow_id,site_label,ebu_royal,region,district,city,remote_and_metropolitan,location,latitude,longitude,site_status,last_deploying_date,1st_deploying_date,vendor,2g_3g_lte_5g,shelter_outdoor
CWN915,Normal,NON EBU,WEST,MAKKAH,Mashaer,Metropolitan,Muzdalifah,21.382,39.923200,ON-AIR,5-Jan-21,1-Jan-21,Nokia,2G/LTE,Shelter
COW535,VVVIP,NON EBU,Central,Riyadh District,Thumama,Remote,Prince Khalid Bin Salman Camp Thumama,25.33344,46.47846,ON-AIR,20-Oct-19,4-Apr-18,Ericsson,2G/LTE,Shelter
CWN925,Normal,EBU,SOUTH,Asir,Bisha,Remote,Army Training Center in Bisha,19.82167,42.972120,ON-AIR,15-Oct-19,1-Apr-13,Huawei,2G/LTE,Shelter
CWN950,Normal,NON EBU,WEST,MAKKAH,MAKKAH,Metropolitan,Near Haram(UMER BIN HATAB ROAD),21.43161,39.826640,ON-AIR,1-Jul-20,25-Jun-20,Nokia,2G/LTE,Shelter
CWN952,Normal,EBU,SOUTH,Asir,Abha,Metropolitan,Airbase Abha,18.155706,42.434680,ON-AIR,22-Feb-20,22-Feb-20,Nokia,2G/LTE,Outdoor
,,,,,,,,,,,,,,,
CWN963,Normal,EBU,Central,Riyadh District,AL-HAYSYA,Remote,Army Camp AL-HAYSYA / SALBUK ROAD,24.90069,46.13858,ON-AIR,10-Feb-15,1-Apr-13,Nokia,2G/LTE,Shelter
CWN964,Normal,NON EBU,Central,Riyadh District,Dirab,Remote,Dirab satellite Station,24.42661,46.58741,ON-AIR,4-Apr-18,1-Apr-13,Nokia,,Shelter
CWN965,Normal,EBU,SOUTH,Najran,Najran,Remote,Yaman Border Najran,17.411717,44.210471,ON-AIR,18-Nov-20,18-Nov-20,Nokia,2G,Outdoor
CWN968,Normal,NON EBU,WEST,MADINAH,Al Mahd,Remote,Mahd Althahab City,23.50043,40.899730,ON-AIR,19-Jan-20,19-Jan-20,Nokia,2G/LTE,Outdoor
CWN972,Normal,NON EBU,WEST,MAKKAH,Mashaer,Metropolitan,911 Compound Muzdalifah,21.360682,39.916155,ON-AIR,18-Mar-20,18-Mar-20,Nokia,2G/LTE/5G,Outdoor
CWN973,Normal,NON EBU,Central,Riyadh District,Dirab,Remote,Dirab satellite Station,24.42661,46.58741,ON-AIR,4-Apr-18,1-Apr-13,Nokia,,Shelter
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CWN976,Normal,NON EBU,WEST,MAKKAH,Mashaer,Metropolitan,Mina Camp,21.40275,39.897510,ON-AIR,18-Jul-18,14-Jul-19,Nokia,2G/LTE,Outdoor
,,,,,,,,,,,,,,,
CWN983,Normal,NON EBU,WEST,MAKKAH,MAKKAH,Metropolitan,South Gate,21.389922,39.859418,ON-AIR,19-Dec-17,26-Jan-20,Nokia,2G/LTE/5G,Outdoor
CWN986,Normal,EBU,EAST,NORTHERN BORDER,ARAR,Remote,Al Uwayqilah/Iraq Border/ Army Camp,30.46544,42.649410,ON-AIR,11-Jun-20,11-Jun-20,Nokia,2G/LTE,Outdoor
,,,,,,,,,,,,,,,
CWN988,Normal,EBU,EAST,NORTHERN BORDER,TURAIF,Remote,Turaif Military Camp ,31.88932,39.657170,ON-AIR,1-Nov-15,1-Apr-13,Nokia,2G/LTE,Shelter
CWN995,Normal,NON EBU,WEST,TAIF,Taif,Metropolitan,Prince Ahmed Palace,21.49114,40.593420,ON-AIR,16-Sep-20,16-Sep-20,Nokia,2G/LTE,Outdoor
CWS801,Normal,NON EBU,WEST,MADINAH,MADINAH,Metropolitan,Haraj Area Madinah,24.59469,39.669790,ON-AIR,5-Mar-17,23-Aug-16,Nokia,2G/LTE/5G,Shelter
CWS803,Normal,EBU,WEST,TABUK,Tabuk,Metropolitan,TABUK/ARMY CAMP,28.79099,36.451960,ON-AIR,15-Nov-16,1-Apr-13,Huawei,2G/LTE,Shelter
CWS810,Normal,NON EBU,WEST,TABUK,Tabuk,Metropolitan,Prince Fahad bin Sultan Park,28.4327,36.575500,ON-AIR,28-Nov-20,1-Jan-21,Huawei,2G/LTE/5G,Shelter
,,,,,,,,,,,,,,,
CWS817,Normal,NON EBU,WEST,MADINAH,MADINAH,Metropolitan,the Knowledge Economy City King Abdul Aziz Road,24.475347,39.681684,ON-AIR,8-Nov-17,25-Nov-20,Nokia,2G/LTE/5G,Outdoor
,,,,,,,,,,,,,,,
CWS821,Normal,NON EBU,EAST,JUBAIL,JUBAIL,Metropolitan,Jubail/ Near Expertise Workshop/ Near Khonaini Station No 50,26.90673,49.49295 ,ON-AIR,6-Jan-21,6-Jan-21,Huawei,2G/LTE/5G,Shelter
CWH355,Normal,EBU,WEST,TABUK,Sharma,Metropolitan,Jebel Al Lawz Neom,28.675932,35.300798,ON-AIR,,,Huawei,2G/LTE,Shelter
,,,,,,,,,,,,,,,
CWH342,Normal,EBU,WEST,TABUK,Sharma,Metropolitan,Tiran island,27.96283,34.572150,ON-AIR,,,Huawei,2G/LTE,Shelter
