cows_id,site_label,current_locationlat,current_location_lng,ebu_royal,shelter_outdoor,tower_type,tower_sytem,tower_hieght,2g_4g_lte_5g,vehicle_make,top_events,moved_date_time,moved_month_year,reached_date_time,reached_month_year,from_location,from_sub_location,from_latitude,from_longitude,to_location,to_sub_location,to_latitude,to_longitude,distance,movement_type,region_from,region_to,vendor,goverment,remarks
COW777,Normal,,,NON EBU,,,,,,,WH,4 May 2022,May-22,5 May 2022,May-22,ACES Muzahmiya WH,WH,24.51704,46.26763,stc Jeddah WH,,21.631547,39.10799,1100.0,Half,Central,West,Ericsson,Ar Riyad,ON-AIR
COW777,Normal,,,NON EBU,,,,,,,WH,20 May 2021,May-21,20 May 2021,May-21,HOI Al Kharj WH,WH,24.211948,47.1967989,ACES Muzahmiya WH,,24.51704,46.26763,120.0,Zero,Central,Central,Ericsson,Al Madinah,ON-AIR
COW777,Normal,,,NON EBU,,,,,,,Other,21 Jul 2022,Jul-22,21 Jul 2022,Jul-22,stc Jeddah WH,Other,21.631547,39.107990,Durrat Al Arous Jeddah,,21.954914,38.954789,95.0,Half,West,West,Ericsson,Ash Sharqiyah,ON-AIR
COW777,Normal,,,NON EBU,,,,,,,Riyadh Season,11 Oct 2021,Oct-21,11 Oct 2021,Oct-21,ACES Muzahmiya WH,Event,24.517040,46.267630,Riyadh Season,Riyadh Season,24.780977,46.601196,120.0,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW777,Normal,,,NON EBU,,,,,,,ABB FIA Formula E World Championship,24 Jan 2022,Jan-22,24 Jan 2022,Jan-22,MDL Beast,Event,24.995308,46.509971,ABB FIA Formula E World Championship,ABB FIA Formula E World Championship,24.73955,46.581215,40.0,Full,Central,Central,Ericsson,Makkah,ON-AIR
COW777,Normal,,,NON EBU,,,,,,,WH,17 Apr 2022,Apr-22,17 Apr 2022,Apr-22,King Khalid Military College,WH,24.745067,46.894803,ACES Muzahmiya WH,,24.51704,46.26763,150.0,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW777,Normal,,,NON EBU,,,,,,,WH,13 Feb 2022,Feb-22,13 Feb 2022,Feb-22,FormulaE Dariya,WH,24.739550,46.581215,ACES Muzahmiya WH,,24.51704,46.26763,80.0,Half,Central,Central,Ericsson,Ash Sharqiyah,ON-AIR
COW778,Normal,,,EBU,,,,,,,Other,11 Mar 2021,Mar-21,11 Mar 2021,Mar-21,ACES Muzahmiya WH,Event,24.517040,46.267630,Marbella Resort,Marbella Resort,24.81658,46.43364,150.0,Half,Central,Central,Ericsson,Al Quassim,ON-AIR
COW778,Normal,,,EBU,,,,,,,MDLBEAST Festival,2 Dec 2023,Dec-23,2 Dec 2023,Dec-23,ACES Muzahmiya WH,Event,24.517040,46.267630,MDL Beast,MDL Beast,24.995928,46.490961,110.0,Half,Central,Central,Ericsson,Tabuk,ON-AIR
COW778,Normal,,,NON EBU,,,,,,,WH,3 Feb 2022,Feb-22,3 Feb 2022,Feb-22,Marbella Resort -Amariya,WH,24.816578,46.433640,ACES Muzahmiya WH,,24.51704,46.26763,150.0,Half,Central,Central,Ericsson,Al Quassim,ON-AIR
COW778,VIP,,,NON EBU,,,,,,,WH,12 Dec 2022,Dec-22,12 Dec 2022,Dec-22,MDL Beast 2022,WH,24.999337,46.495796,ACES Muzahmiya WH,,24.51704,46.26763,80.0,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW778,Normal,,,NON EBU,,,,,,,Other,16 Feb 2021,Feb-21,17 Feb 2021,Feb-21,,Other,,,,,,,80.0,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW778,Normal,,,NON EBU,,,,,,,MDLBEAST Festival,27 Nov 2022,Nov-22,27 Nov 2022,Nov-22,ACES Muzahmiya WH,Event,24.517040,46.267630,MDL Beast,MDL Beast,24.999337,46.495796,100.0,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW778,Normal,,,NON EBU,,,,,,,WH,27 Dec 2023,Dec-23,27 Dec 2023,Dec-23,MDL Beast 2023,WH,24.995928,46.490961,ACES Muzahmiya WH,,24.51704,46.26763,110.0,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW779,Normal,,,NON EBU,,,,,,,Other,7 Dec 2022,Dec-22,7 Dec 2022,Dec-22,Al Amariya Alwaseel Resort,Other,24.873600,46.454400,Al Amariya Alwaseel Resort,,24.8735,46.4546,0.2,Full,Central,Central,Ericsson,Makkah,ON-AIR
COW781,VVVIP,,,NON EBU,,,,,,,WH,8 Oct 2025,Oct-25,8 Oct 2025,Oct-25,Amariyah,WH,24.79307,46.37093,ACES Muzahmiya WH,,24.51704,46.26763,80.0,Half,Central,Central,Ericsson,Asir,ON-AIR
COW801,VIP,,,NON EBU,,,,,,,WH,8 Feb 2024,Feb-24,8 Feb 2024,Feb-24,FORMULA-E,WH,24.741050,46.585960,ACES Muzahmiya WH,,24.51704,46.26763,100.0,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW801,Normal,,,NON EBU,,,,,,,WH,27 Nov 2024,Nov-24,28 Nov 2024,Nov-24,MDL Beast S6,WH,24.995021,46.504374,ACES Muzahmiya WH,,24.51704,46.26763,120.0,Half,Central,Central,Ericsson,Al Madinah,ON-AIR
COW801,Normal,,,NON EBU,,,,,,,WH,14 Jun 2023,Jun-23,14 Jun 2023,Jun-23,City Walk Jeddha Season,WH,21.632344,39.111506,stc Jeddah WH,,21.631547,39.10799,30.0,Half,West,West,Ericsson,Ar Riyad,ON-AIR
COW801,VIP,,,NON EBU,,,,,,,Formula 1 Saudi Arabian Grand Prix,27 Nov 2021,Nov-21,27 Nov 2021,Nov-21,stc Jeddah WH,Royal,21.631547,39.107990,"F1 Jeddah   Royal Suites/Overlook, Premium Suites/Hospitality",,21.635166,39.10412,35.0,Half,West,West,Ericsson,Ar Riyad,ON-AIR
COW801,Normal,,,NON EBU,,,,,,,ABB FIA Formula E World Championship,18 Jan 2024,Jan-24,18 Jan 2024,Jan-24,ACES  Muzahmiya WH,Event,24.517040,46.267630,ABB FIA Formula E World Championship,ABB FIA Formula E World Championship,24.74105,46.58596,100.0,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW801,VVVIP,,,NON EBU,,,,,,,Other,26 Apr 2023,Apr-23,26 Apr 2023,Apr-23,"F1 Jeddah   Royal Suites/Overlook, Premium Suites/Hospitality",Event,21.635166,39.104120,Jeddha Season,Jeddah Season,21.632344,39.111506,20.0,Full,West,West,Ericsson,Al Madinah,ON-AIR
COW801,Normal,,,NON EBU,,,,,,,WH,29 Mar 2021,Mar-21,29 Mar 2021,Mar-21,Critical Tower ZJD381 Al Faiha,WH,21.495030,39.216360,stc Jeddah WH,,21.631547,39.10799,35.0,Half,West,West,Ericsson,Al Madinah,ON-AIR
COW801,VIP,,,NON EBU,,,,,,,WH,27 Dec 2023,Dec-23,27 Dec 2023,Dec-23,MDL Beast 2023,WH,24.996240,46.501300,ACES Muzahmiya WH,,24.51704,46.26763,110.0,Half,Central,Central,Ericsson,Ash Sharqiyah,ON-AIR
COW801,Normal,,,EBU,,,,,,,MDLBEAST Festival,27 Nov 2024,Nov-24,28 Nov 2024,Nov-24,ACES  Muzahmiya WH,Event,24.517040,46.267630,MDL Beast,MDL Beast,24.995021,46.504374,120.0,Half,Central,Central,Ericsson,Makkah,ON-AIR
COW801,Normal,,,NON EBU,,,,,,,MDLBEAST Festival,6 Dec 2023,Dec-23,7 Dec 2023,Dec-23,ACES Muzahmiya WH,Event,24.517040,46.267630,MDL Beast,MDL Beast,24.99624,46.5013,1000.0,Half,West,Central,Ericsson,Makkah,ON-AIR
COW802,Normal,,,NON EBU,,,,,,,Other,2 Dec 2023,Dec-23,2 Dec 2023,Dec-23,ACES Muzahmiya WH,Other,24.517040,46.267630,KFS,,24.78762,46.83782,100.0,Half,Central,Central,Ericsson,Makkah,ON-AIR
COW802,Normal,,,Royal,,,,,,,WH,4 Dec 2024,Dec-24,4 Dec 2024,Dec-24,KAFD,WH,24.765948,46.645461,ACES Muzahmiya WH,,24.51704,46.26763,70.0,Half,Central,Central,Ericsson,Tabuk,ON-AIR
COW802,Normal,,,EBU,,,,,,,Other,23 Oct 2023,Oct-23,23 Oct 2023,Oct-23,ACES Muzahmiya WH,Other,24.517040,46.267630,KFS,,24.78762,46.83782,100.0,Half,Central,Central,Ericsson,Al Quassim,ON-AIR
COW802,Normal,,,EBU,,,,,,,WH,4 Feb 2022,Feb-22,4 Feb 2022,Feb-22,Riyadh Season  Jandriya Riiyadh Season WZ4,WH,24.954794,46.805390,ACES Muzahmiya WH,,24.51704,46.26763,110.0,Half,Central,Central,Ericsson,Makkah,ON-AIR
COW802,VIP,,,NON EBU,,,,,,,WH,6 Jul 2022,Jul-22,6 Jul 2022,Jul-22,Sky Show Saudi Founding Day festival,WH,24.808612,46.580488,ACES Muzahmiya WH,,24.51704,46.26763,120.0,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW802,Normal,,,NON EBU,,,,,,,Riyadh Season,27 Jun 2024,Jun-24,27 Jun 2024,Jun-24,ACES  Muzahmiya WH,Other,24.517040,46.267630,Boulevard E Sport,,24.76899,46.60727,80.0,Half,Central,Central,Ericsson,Jizan,ON-AIR
COW802,Normal,,,NON EBU,,,,,,,Other,10 Oct 2024,Oct-24,10 Oct 2024,Oct-24,ACES  Muzahmiya WH,Other,24.517040,46.267630,KAFD Exit4,,24.766253,46.645337,100.0,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW802,VVVIP,,,NON EBU,,,,,,,Riyadh Season,27 Aug 2021,Aug-21,27 Aug 2021,Aug-21,Durma city,Event,24.606520,46.161770,Riiyadh Season,Riyadh Season,24.954794,46.80539,160.0,Full,Central,Central,Ericsson,Makkah,ON-AIR
COW802,Normal,,,NON EBU,,,,,,,WH,16 Jul 2021,Jul-21,16 Jul 2021,Jul-21,Durma,WH,24.606500,46.161750,stc EXIT 18 Riyad  WH,,24.49375,46.91106,100.0,Half,Central,Central,Ericsson,Ash Sharqiyah,ON-AIR
COW802,Normal,,,NON EBU,,,,,,,Riyadh Season,12 Oct 2022,Oct-22,12 Oct 2022,Oct-22,ACES Muzahmiya WH,Event,24.517040,46.267630,Riyadh Season,Riyadh Season,24.78404,46.61011,80.0,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW802,VIP,,,NON EBU,,,,,,,Other,27 Aug 2025,Aug-25,27 Aug 2025,Aug-25,ACES  Muzahmiya WH,Other,24.517040,46.267630,Riyadh Coverage  - COW4 - Janadriyah,,24.900111,46.948083,140.0,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW802,Normal,,,EBU,,,,,,,WH,31 Aug 2024,Aug-24,31 Aug 2024,Aug-24,E-sports World Cup event Bolivord,WH,24.768992,46.607277,ACES Muzahmiya WH,,24.51704,46.26763,75.0,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW802,VIP,,,NON EBU,,,,,,,Other,13 Apr 2023,Apr-23,13 Apr 2023,Apr-23,ACES Muzahmiya WH,Other,24.517040,46.267630,KFS VIP,,24.78762,46.83782,85.0,Half,Central,Central,Ericsson,Makkah,ON-AIR
COW802,Normal,,,NON EBU,,,,,,,Other,18 Sep 2023,Sep-23,18 Sep 2023,Sep-23,ACES Muzahmiya WH,Other,24.517040,46.267630,KFS,,24.78762,46.83782,100.0,Half,Central,Central,Ericsson,Makkah,ON-AIR
